Sr_No	Target_File	Location	Term	ContextInfo	Severity	TermClass	Replacement_Guideline	Term_Translation	Recommended_Term	Issue_Type	Bug_No	Investigator	Version	Team_Name	Owner	IsSourceComment	TermVersionId	FieldsImpacted	TermId
1	D:\policheck\unzip\20200918160355\includes\2-overview.md	Line: 20	countries	 and changing laws at the local level. Dynamics 365 Financeâ€™s regulatory features include 37 countries and 42 languages. Its global electronic reporting features and configurable e-invoicing make i	2	Geopolitical	For detailed info see - http://policheck.azurewebsites.net/Pages/TermInfo.aspx?LCID=9&TermID=79569	English Translation		OT	0		0			FALSE	6	Guidelines	79569
2	D:\policheck\unzip\20200918160355\includes\3-core-product-capabilities.md	Line: 115	capital	 the total financial requirements properly by determining the operating requirements, the fixed capital requirements, and the working capital requirements of the organization.	2	Geopolitical	For detailed info see - http://policheck.azurewebsites.net/Pages/TermInfo.aspx?LCID=9&TermID=79515	English Translation		OT	0		0			FALSE	4	Guidelines	79515
